Trainer,Name,Location,Items,Required,Double,Pokemon,Ability,Held Item,Level,Attack 1,Attack 2,Attack 3,Attack 4,IV
388,388,388,,,,836,836,,836,836,836,836,836,836
rse_archie,Archie,Mt. Chimney,[2] Super Potion,y,,Mightyena,Intimidate,,24,Sand Attack,Bite,Odor Sleuth,Roar,150
,,,,,,Golbat,Inner Focus,,24,Supersonic,Astonish,Bite,Wing Attack,150
,,,,,,Sharpedo,Rough Skin,,25,Rage,Focus Energy,Scary Face,Crunch,150
rse_archie,Archie,Seafloor Cavern,[2] Super Potion,y,,Mightyena,Intimidate,,41,Roar,Swagger,Scary Face,Take Down,150
,,,,,,Crobat,Inner Focus,,41,Bite,Wing Attack,Confuse Ray,Air Cutter,150
,,,,,,Sharpedo,Rough Skin,,43,Screech,Slash,Taunt,Swagger,150
rse_aroma_lady,Daisy,Route 103,,,,Roselia,Natural Cure,,16,Absorb,Growth,Poison Sting,Stun Spore,0
rse_aroma_lady,Rose,Route 118 (West),,,,Shroomish,Effect Spore,,16,Tackle,Stun Spore,Leech Seed,Mega Drain,0
,,,,,,Roselia,Natural Cure,,16,Absorb,Growth,Poison Sting,Stun Spore,0
rse_aroma_lady,Violet,Route 123,,,,Shroomish,Effect Spore,,25,Stun Spore,Leech Seed,Mega Drain,Headbutt,0
,,,,,,Gloom,Chlorophyll,,25,Poison Powder,Stun Spore,Sleep Powder,Acid,0
,,,,,,Breloom,Effect Spore,,25,Leech Seed,Mega Drain,Headbutt,Mach Punch,0
rse_battle_girl,Cora,Trick House 4,,,,Meditite,Pure Power,,27,Confusion,Detect,Hidden Power,Mind Reader,100
rse_battle_girl,Cyndy,Route 115,,,,Meditite,Pure Power,,19,Meditate,Confusion,Detect,Hidden Power,100
,,,,,,Makuhita,Thick Fat,,19,Sand Attack,Arm Thrust,Vital Throw,Fake Out,100
rse_battle_girl,Jill,Trick House 4,,,,Breloom,Effect Spore,,27,Leech Seed,Mega Drain,Headbutt,Mach Punch,100
rse_battle_girl,Laura,Dewford Gym,,y,,Meditite,Pure Power,,14,Bide,Meditate,Confusion,Detect,100
rse_battle_girl,Sadie,Lavaridge Gym,,,,Meditite,Pure Power,,24,Bide,Detect,Confusion,Fire Punch,100
rse_battle_girl,Tessa,Dewford Gym,,,,Meditite,Pure Power,,12,Bide,Meditate,Confusion,Detect,100
,,,,,,Machop,Guts,,12,Low Kick,Leer,Focus Energy,~,100
,,,,,,Meditite,Pure Power,,12,Bide,Meditate,Confusion,Detect,100
rse_battle_girl,Vivian,Mauville Gym,,y,,Meditite,Pure Power,,19,Bide,Detect,Confusion,Thunder Punch,100
rse_beauty,Bridget,Sootopolis Gym (2F),,,,Azumarill,Thick Fat,,41,Water Gun,Rollout,Bubble Beam,Double-Edge,100
rse_beauty,Connie,Sootopolis Gym (1F),,,,Goldeen,Swift Swim,,40,Horn Attack,Flail,Fury Attack,Water fall,100
,,,,,,Wailmer,Water Veil,,40,Astonish,Water Pulse,Mist,Rest,100
rse_beauty,Jessica,Route 121,,,,Kecleon,Color Change,,30,Bind,Lick,Fury Swipes,Feint Attack,0
,,,,,,Seviper,Shed Skin,,30,Poison Tail,Screech,Glare,Crunch,0
rse_beauty,Johanna,Seashore House,,,,Goldeen,Swift Swim,,13,Peck,Tail Whip,Water Sport,Supersonic,0
rse_beauty,Melissa,Mt. Chimney,,,,Marill,Thick Fat,,22,Tail Whip,Water Gun,Rollout,Bubble Beam,0
rse_beauty,Olivia,Sootopolis Gym (3F),,,,Lombre,Swift Swim,,41,Uproar,Fury Swipes,Fake Out,Water Gun,100
rse_beauty,Sheila,Mt. Chimney,,,,Shroomish,Effect Spore,,22,Stun Spore,Leech Seed,Mega Drain,Headbutt,0
rse_beauty,Shirley,Mt. Chimney,,,,Numel,Oblivious,,22,Growl,Tackle,Ember,Magnitude,0
rse_beauty,Tiffany,Sootopolis Gym (3F),,,,Carvanha,Rough Skin,,39,Crunch,Screech,Take Down,Swagger,100
,,,,,,Wailmer,Water Veil,,39,Astonish,Water Pulse,Mist,Rest,100
,,,,,,Sharpedo,Rough Skin,,39,Crunch,Screech,Slash,Taunt,100
rse_bird_keeper,Alex,Route 134,,,,Natu,Synchronize,,32,Night Shade,Teleport,Wish,Future Sight,0
,,,,,,Wingull,Keen Eye,,32,Supersonic,Wing Attack,Mist,Quick Attack,0
,,,,,,Swellow,Guts,,32,Quick Attack,Wing Attack,Double Team,Endeavor,0
,,,,,,Pelipper,Keen Eye,,32,Supersonic,Wing Attack,Mist,Protect,0
rse_bird_keeper,Benny,Trick House 6,,,,Swellow,Guts,,36,Quick Attack,Wing Attack,Double Team,Endeavor,0
,,,,,,Pelipper,Keen Eye,,36,Mist,Protect,Stockpile,Swallow,0
,,,,,,Xatu,Synchronize,,36,Night Shade,Teleport,Wish,Future Sight,0
rse_bird_keeper,Beck,Route 133,,,,Pelipper,Keen Eye,,34,Mist,Protect,Stockpile,Swallow,0
,,,,,,Pelipper,Keen Eye,,34,Mist,Protect,Stockpile,Swallow,0
rse_bird_keeper,Byron,Route 127,,,,Swellow,Guts,,34,Quick Attack,Wing Attack,Double Team,Endeavor,0
,,,,,,Pelipper,Keen Eye,,34,Mist,Protect,Stockpile,Swallow,0
rse_bird_keeper,Chester,Route 118 (East),,,,Taillow,Guts,,26,Quick Attack,Wing Attack,Double Team,Endeavor,0
,,,,,,Swellow,Guts,,26,Focus Energy,Quick Attack,Wing Attack,Double Team,0
rse_bird_keeper,Colin,Route 120,,,,Natu,Synchronize,,29,Peck,Leer,Night Shade,Teleport,0
,,,,,,Swellow,Guts,,29,Quick Attack,Wing Attack,Double Team,Endeavor,0
rse_bird_keeper,Hugh,Route 119,,,,Swellow,Guts,,27,Focus Energy,Quick Attack,Wing Attack,Double Team,0
rse_bird_keeper,Jared,Fortree Gym,,,,Doduo,Run Away,,30,Pursuit,Fury Attack,Tri Attack,Rage,100
rse_bird_keeper,Perry,Route 118 (East),,,,Wingull,Keen Eye,,27,Water Gun,Supersonic,Wing Attack,Mist,0
rse_bird_keeper,Phil,Route 119,,,,Taillow,Guts,,25,Focus Energy,Quick Attack,Wing Attack,Double Team,0
,,,,,,Wingull,Keen Eye,,25,Water Gun,Supersonic,Wing Attack,Mist,0
,,,,,,Swellow,Guts,,25,Focus Energy,Quick Attack,Wing Attack,Double Team,0
rse_bird_keeper,Robert,Route 120,,,,Swablu,Natural Cure,,30,Sing,Fury Attack,Safeguard,Mist,0
rse_bird_keeper,Will,Fortree Gym,,,,Wingull,Keen Eye,,28,Water Gun,Supersonic,Wing Attack,Mist,100
,,,,,,Swellow,Guts,,28,Quick Attack,Wing Attack,Double Team,Endeavor,100
,,,,,,Pelipper,Keen Eye,,28,Supersonic,Wing Attack,Mist,Protect,100
rse_black_belt,Atsushi,Mt. Pyre (4F),,,,Makuhita,Thick Fat,,30,Vital Throw,Fake Out,Whirlwind,Knock Off,100
,,,,,,Machoke,Guts,,30,Karate Chop,Seismic Toss,Foresight,Revenge,100
,,,,,,Hariyama,Thick Fat,,30,Vital Throw,Fake Out,Whirlwind,Knock Off,100
rse_black_belt,Daisuke,Route 111,,,,Machop,Guts,,19,Leer,Focus Energy,Karate Chop,Seismic Toss,100
rse_black_belt,Hideki,Dewford Gym,,,,Machop,Guts,,14,Low Kick,Leer,Focus Energy,Karate Chop,100
rse_black_belt,Hitoshi,Route 134,,,,Machoke,Guts,,34,Seismic Toss,Foresight,Revenge,Vital Throw,100
,,,,,,Machoke,Guts,,34,Seismic Toss,Foresight,Revenge,Vital Throw,100
rse_black_belt,Kiyo,Route 132,,,,Makuhita,Thick Fat,,33,Fake Out,Whirlwind,Knock Off,Smelling Salts,100
,,,,,,Makuhita,Thick Fat,,33,Fake Out,Whirlwind,Knock Off,Smelling Salts,100
,,,,,,Machoke,Guts,,33,Seismic Toss,Foresight,Revenge,Vital Throw,100
rse_black_belt,Koichi,Route 115,,,,Machop,Guts,,26,Karate Chop,Seismic Toss,Foresight,Revenge,100
,,,,,,Machoke,Guts,,26,Karate Chop,Seismic Toss,Foresight,Revenge,100
rse_black_belt,Koji,Route 127,,,,Machoke,Guts,,34,Seismic Toss,Foresight,Revenge,Vital Throw,100
,,,,,,Machoke,Guts,,34,Seismic Toss,Foresight,Revenge,Vital Throw,100
rse_black_belt,Nob,Route 115,,,,Machop,Guts,,20,Leer,Focus Energy,Karate Chop,Seismic Toss,100
rse_black_belt,Yuji,Trick House 4,,,,Makuhita,Thick Fat,,26,Arm Thrust,Vital Throw,Fake Out,Whirlwind,100
,,,,,,Machoke,Guts,,26,Karate Chop,Seismic Toss,Foresight,Revenge,100
rse_brawly,Brawly,Dewford Gym,[2] Super Potion,,,Machop,Guts,,17,Leer,Karate Chop,Seismic Toss,Bulk Up,150
,,,,,,Makuhita,Thick Fat,,18,Arm Thrust,Knock Off,Sand Attack,Bulk Up,200
rse_bug_catcher,Doug,Route 119,,,,Nincada,Compound Eyes,,26,Sand Attack,Fury Swipes,Mind Reader,False Swipe,0
,,,,,,Nincada,Compound Eyes,,26,Sand Attack,Fury Swipes,Mind Reader,False Swipe,0
rse_bug_catcher,Greg,Route 119,,,,Volbeat,Swarm,,26,Moonlight,Quick Attack,Tail Glow,Signal Beam,0
,,,,,,Illumise,Oblivious,,26,Moonlight,Quick Attack,Wish,Encore,0
rse_bug_catcher,James,Petalburg Woods,,,,Nincada,Compound Eyes,,8,Scratch,Harden,Leech Life,~,0
rse_bug_catcher,Jose,Route 116,,,,Wurmple,Shield Dust,,8,Tackle,String Shot,Poison Sting,~,50
,,,,,,Silcoon,Shed Skin,,8,Harden,~,~,~,50
,,,,,,Nincada,Compound Eyes,,8,Scratch,Harden,Leech Life,~,50
rse_bug_catcher,Kent,Route 119,,,,Ninjask,Speed Boost,,26,Double Team,Fury Cutter,Screech,Swords Dance,0
rse_bug_catcher,Lyle,Petalburg Woods,,,,Wurmple,Shield Dust,,3,Tackle,String Shot,~,~,0
,,,,,,Wurmple,Shield Dust,,3,Tackle,String Shot,~,~,0
,,,,,,Wurmple,Shield Dust,,3,Tackle,String Shot,~,~,0
,,,,,,Wurmple,Shield Dust,,3,Tackle,String Shot,~,~,0
,,,,,,Wurmple,Shield Dust,,3,Tackle,String Shot,~,~,0
,,,,,,Wurmple,Shield Dust,,3,Tackle,String Shot,~,~,0
rse_bug_catcher,Rick,Route 102,,,,Wurmple,Shield Dust,,4,Tackle,String Shot,~,~,0
,,,,,,Wurmple,Shield Dust,,4,Tackle,String Shot,~,~,0
rse_bug_maniac,Brandon,Route 120,,,,Surskit,Swift Swim,,28,Quick Attack,Sweet Scent,Water Sport,Bubble Beam,0
,,,,,,Surskit,Swift Swim,,28,Quick Attack,Sweet Scent,Water Sport,Bubble Beam,0
,,,,,,Surskit,Swift Swim,,28,Quick Attack,Sweet Scent,Water Sport,Bubble Beam,0
rse_bug_maniac,Brent,Route 119,,,,Surskit,Swift Swim,,27,Quick Attack,Sweet Scent,Water Sport,Bubble Beam,100
rse_bug_maniac,Derek,Route 117,,,,Nincada,Compound Eyes,,15,Harden,Leech Life,Sand Attack,Fury Swipes,100
,,,,,,Dustox,Shield Dust,,15,Confusion,Gust,~,~,150
,,,,,,Beautifly,Swarm,,15,Absorb,Gust,~,~,150
rse_bug_maniac,Donald,Route 119,,,,Wurmple,Shield Dust,,25,Tackle,String Shot,Poison Sting,~,100
,,,,,,Silcoon,Shed Skin,,25,Harden,~,~,~,100
,,,,,,Beautifly,Swarm,,25,Gust,Stun Spore,Morning Sun,Mega Drain,100
rse_bug_maniac,Taylor,Route 119,,,,Wurmple,Shield Dust,,25,Tackle,String Shot,Poison Sting,~,100
,,,,,,Cascoon,Shed Skin,,25,Harden,~,~,~,100
,,,,,,Dustox,Shield Dust,,25,Gust,Protect,Moonlight,Psybeam,100
rse_camper,Cliff,Route 111,,,,Baltoy,Levitate,,22,Rapid Spin,Mud-Slap,Psybeam,Rock Tomb,0
,,,,,,Sandshrew,Sand Veil,,22,Poison Sting,Sand Attack,Scratch,Dig,0
,,,,,,Baltoy,Levitate,,22,Rapid Spin,Mud-Slap,Psybeam,Rock Tomb,0
rse_camper,Drew,Route 111,,,,Sandshrew,Sand Veil,,24,Dig,Sand Attack,Poison Sting,Slash,0
rse_camper,Ethan,Jagged Pass,,,,Zigzagoon,Pickup,,21,Headbutt,Sand Attack,Odor Sleuth,Mud Sport,0
,,,,,,Taillow,Guts,,21,Focus Energy,Quick Attack,Wing Attack,Double Team,0
rse_camper,Justin,Trick House 3,,,,Kecleon,Color Change,,24,Feint Attack,Fury Swipes,Psybeam,Screech,0
rse_camper,Larry,Route 112,,,,Zigzagoon,Pickup,,18,Tail Whip,Headbutt,Sand Attack,Odor Sleuth,0
,,,,,,Nuzleaf,Chlorophyll,,18,Pound,Harden,Growth,Nature Power,0
rse_camper,Shane,Route 114,,,,Sandshrew,Sand Veil,,19,Scratch,Defense Curl,Sand Attack,Poison Sting,0
,,,,,,Nuzleaf,Chlorophyll,,19,Harden,Growth,Nature Power,Fake Out,0
rse_camper,Terrell,Fortree Gym,,,,Taillow,Guts,,29,Quick Attack,Wing Attack,Double Team,Endeavor,100
,,,,,,Swellow,Guts,,29,Quick Attack,Wing Attack,Double Team,Endeavor,100
rse_camper,Travis,Route 111,,,,Sandshrew,Sand Veil,,19,Scratch,Defense Curl,Sand Attack,Poison Sting,0
rse_collector,Edwin,Route 110,,,,Lombre,Swift Swim,,14,Astonish,Growl,Absorb,Nature Power,0
,,,,,,Nuzleaf,Chlorophyll,,14,Pound,Harden,Growth,Nature Power,0
rse_collector,Hector {Ruby},Route 115,,,,Seviper,Shed Skin,,20,Lick,Bite,Poison Tail,Screech,0
rse_collector,Hector {Sapphire},Route 115,,,,Zangoose,Immunity,,20,Quick Attack,Swords Dance,Fury Cutter,Slash,0
rse_cool_trainer_f,Alexa,Route 128,[1] Full Restore,,,Gloom,Chlorophyll,,35,Stun Spore,Sleep Powder,Acid,Moonlight,100
,,,,,,Azumarill,Thick Fat,,35,Water Gun,Rollout,Bubble Beam,Double-Edge,100
rse_cool_trainer_f,Brooke,Route 111,[1] Super Potion,,,Wingull,Keen Eye,,18,Growl,Water Gun,Supersonic,Wing Attack,100
,,,,,,Numel,Oblivious,,18,Growl,Tackle,Ember,~,100
,,,,,,Roselia,Natural Cure,,18,Growth,Poison Sting,Stun Spore,Mega Drain,100
rse_cool_trainer_f,Caroline,Victory Road (B1F),[1] Full Restore,,,Mawile,Hyper Cutter,,43,Feint Attack,Baton Pass,Crunch,Iron Defense,100
,,,,,,Sableye,Keen Eye,,43,Feint Attack,Knock Off,Confuse Ray,Shadow Ball,100
rse_cool_trainer_f,Hope,Victory Road (1F),[1] Full Restore,,,Roselia,Natural Cure,,44,Grass Whistle,Giga Drain,Sweet Scent,Ingrain,100
rse_cool_trainer_f,Jennifer,Route 120,[1] Full Restore,,,Milotic,Marvel Scale,,31,Refresh,Water Pulse,Twister,Recover,100
rse_cool_trainer_f,Jody,Strength Room,[2] X Attack,,,Zangoose,Immunity,,27,Swords Dance,Fury Cutter,Slash,Pursuit,100
rse_cool_trainer_f,Julie,Victory Road (B2F),[1] Full Restore,,,Sandslash,Sand Veil,,43,Poison Sting,Slash,Swift,Fury Swipes,100
,,,,,,Ninetales,Flash Fire,,43,Ember,Quick Attack,Confuse Ray,Safeguard,100
rse_cool_trainer_f,Lori,Defense Room,[2] X Defense,,,Linoone,Pickup,,27,Headbutt,Sand Attack,Odor Sleuth,Mud Sport,100
